Food Title,Author Name,Image URL,Recipe URL
Homemade Easy Gulab Jamun Recipe - Delicious & Tasty,Archana Doshi,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2020/Milk_Powder_Gulab_Jamun_Recipe_Video_5_400x320.jpg,https://www.archanaskitchen.com/homemade-easy-gulab-jamun-recipe-delicious-tasty
no-title,Sandhya Gopalakrishna,no-image,no-url
Whole Wheat Crepes With Roasted Vegetables And White Sauce Recipe,Madhuli Ajay,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/Madhuli_Ajay/Whole_wheat_crepes_with_roasted_vegetables_and_white_sauce_400x320.jpg,https://www.archanaskitchen.com/whole-wheat-crepes-with-roasted-vegetables-and-white-sauce-recipe
Motiya Chilman Pulao Recipe - Vegetable Rice Topped With Paneer Balls,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2016/Nov-2/Motiya_Chilman_Pulao_Recipe_Awadh_Cuisine-2_400x320.jpg,https://www.archanaskitchen.com/motiya-chilman-pulao-recipe-vegetable-rice-topped-with-paneer-balls-recipe
Goan Style Tonak Alsanyache Recipe (Black eyed beans cooked in Tonak Masala Recipe),Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/sibyl_sunitha/Goan_Style_Tonak__Alsanyache_Recipe_Black_eyed_beans_cooked_in_Tonak_Masala_Recipe_400x320.jpg,https://www.archanaskitchen.com/goan-style-tonak-alsanyache-recipe-black-eyed-beans-cooked-in-tonak-masala-recipe
Dry Fruit Halwa Recipe,Archana Doshi,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/Indian_Sweets_Mithai/Dry_fruit_Halwa_Recipe-1_400x320.jpg,https://www.archanaskitchen.com/dry-fruit-halwa-recipe
no-title,Sneha Chhabria,no-image,no-url
Garlic And Mushroom Soup Recipe,Hina Gujral,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/Hina_Gujral/Garlic_and_Mushroom_Soup_Recipe_400x320.jpg,https://www.archanaskitchen.com/garlic-and-mushroom-soup-recipe
Achari Aloo Sabzi Recipe - Potatoes In Spicy Pickle Masala,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Achari_Aloo_Sabzi_in_Electric_Pressure_Cooker-1_400x320.jpg,https://www.archanaskitchen.com/potato-achari-recipe-achari-aloo
Andhra Style Sorakaya Kura Recipe - Bottle Gourd And Toor Dal Recipe,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/sibyl_sunitha/Andhra_Style_Sorakaya_Kura_Recipe_Bottle_gourd_and_Toor_Dal_Recipe_400x320.jpg,https://www.archanaskitchen.com/andhra-style-sorakaya-kura-recipe-bottle-gourd-and-toor-dal-recipe
Paan Matka Kulfi Recipe,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/0-Archanas-Kitchen-Recipes/Articles/Pan_Matka_Kulfi_Recipe_4_400x320.jpg,https://www.archanaskitchen.com/paan-matka-kulfi-recipe
